datesec,lon,lat,lon025,lat025,lon5,lat5,lon975,lat975,mplon,mplat,id
12/20/2016 05:00,-3.217228697,46.13496946,-3.73992075,45.279095,-3.218435,46.1365,-2.67109875,46.827105,-3.25917590998043,46.204833072407,511603400
12/21/2016 05:00,-3.142596958,46.21383132,-3.6880025,45.3903975,-3.142485,46.2235,-2.5979285,46.9230025,-3.16712917808219,46.332097260274,511603400
12/22/2016 05:00,-3.152746189,46.23304809,-3.69621025,45.528145,-3.153605,46.22785,-2.61428025,47.018005,-3.22460698630137,46.0853495107632,511603400
12/23/2016 05:00,-3.034150414,46.27462364,-3.59064975,45.595995,-3.03407,46.2732,-2.49089575,47.1249,-3.01148504892368,46.3186019569472,511603400
12/24/2016 05:00,-3.222548113,46.31884196,-3.75514125,45.6238,-3.221455,46.31745,-2.6901095,47.1290075,-3.18226904109589,46.2838937377691,511603400
12/25/2016 05:00,-3.365420453,46.32939832,-3.913616,45.6329675,-3.365835,46.32575,-2.82777,47.111905,-3.38890045009785,46.1440700587084,511603400
12/26/2016 05:00,-3.513239241,46.31677793,-4.043063,45.601695,-3.513665,46.3139,-2.97169075,47.0408,-3.48557729941292,46.2844923679061,511603400
12/27/2016 05:00,-3.690271727,46.28893389,-4.2291045,45.562585,-3.6904,46.289,-3.1610595,47.0443,-3.68741250489237,46.4053181996086,511603400
12/28/2016 05:00,-3.716885175,46.31391313,-4.25656025,45.624595,-3.718015,46.3156,-3.1716105,47.1611125,-3.72399127201566,46.3295005870841,511603400
12/29/2016 05:00,-4.079293554,46.38686259,-4.61314175,45.599385,-4.07823,46.3843,-3.5330695,47.2074025,-4.07324604696673,46.3602270058708,511603400
12/30/2016 05:00,-4.364386316,46.44088929,-4.90681175,45.609395,-4.36331,46.4331,-3.821429,47.216005,-4.35863301369863,46.3738201565558,511603400
12/31/2016 05:00,-4.302689399,46.49102477,-4.83701125,45.676895,-4.30146,46.4857,-3.774262,47.2729025,-4.35681557729941,46.4137630136986,511603400
01/01/2017 05:00,-4.011547764,46.52177692,-4.56243475,45.84169,-4.009255,46.52235,-3.49720275,47.2873025,-3.93668037181996,46.468117221135,511603400
01/02/2017 05:00,-3.735216411,46.53913113,-4.2806235,45.8725,-3.735705,46.53655,-3.224099,47.29661,-3.79041387475538,46.462115851272,511603400
01/03/2017 05:00,-3.778186518,46.52590839,-4.3194155,45.816195,-3.77601,46.5305,-3.26472575,47.35041,-3.75678800391389,46.5574052837573,511603400
01/04/2017 05:00,-4.232834354,46.47190325,-4.77461025,45.7768975,-4.23309,46.47255,-3.71460825,47.279605,-4.21120227005871,46.4495996086106,511603400
01/05/2017 05:00,-4.675670958,46.42447508,-5.223602,45.6440925,-4.67658,46.42445,-4.1529035,47.205715,-4.61019356164384,46.3123168297456,511603400
01/06/2017 05:00,-4.708187143,46.37003941,-5.2566055,45.6227,-4.70796,46.3677,-4.18968875,47.1741025,-4.71345399217221,46.1706630136986,511603400
01/07/2017 05:00,-4.834980811,46.32342597,-5.35555225,45.5883925,-4.83643,46.32505,-4.32441875,47.28393,-4.84742939334638,46.3617800391389,511603400
01/08/2017 05:00,-4.943025322,46.27688844,-5.4601405,45.5125975,-4.94326,46.2775,-4.40924775,47.260205,-4.90114788649706,46.4127127201566,511603400
01/09/2017 05:00,-4.626818184,46.25044749,-5.17449175,45.4042975,-4.62759,46.2512,-4.0727735,47.1927475,-4.64093890410959,46.2240774951076,511603400
01/10/2017 05:00,-4.238428839,46.26433626,-4.78243525,45.472495,-4.239285,46.2692,-3.69979575,47.0160225,-4.26809213307241,46.3257046966732,511603400
01/11/2017 05:00,-4.085312265,46.29298017,-4.62158625,45.62189,-4.08471,46.295,-3.547039,46.927005,-4.04936808219178,46.4733739726027,511603400
01/12/2017 05:00,-3.62762003,46.33651928,-4.1615885,45.7195975,-3.628,46.3371,-3.0903375,46.937605,-3.67173706457926,46.3084266144814,511603400
01/13/2017 05:00,-3.51369478,46.39754526,-4.05018275,45.7912975,-3.513595,46.3938,-2.97693375,47.0741125,-3.50032074363992,46.3550197651663,511603400
01/14/2017 05:00,-3.879371405,46.45014233,-4.4205285,45.8017,-3.879015,46.451,-3.30856125,47.0884125,-3.87652966731898,46.4632203522505,511603400
01/15/2017 05:00,-4.86635796,46.425848,-5.399534,45.7996625,-4.86632,46.42265,-4.29310475,47.1223,-4.83571360078278,46.4421416829746,511603400
01/16/2017 05:00,-6.347408335,46.34388587,-6.882093,45.649395,-6.344605,46.3398,-5.8004845,47.0770175,-6.27975859099804,46.2944684931507,511603400
01/17/2017 05:00,-6.813982648,46.22602795,-7.37107825,45.5368925,-6.814215,46.2252,-6.284996,46.973505,-6.82401097847358,46.2071076320939,511603400
01/18/2017 05:00,-6.020025305,46.21828119,-6.553899,45.55059,-6.018125,46.221,-5.4877625,46.953315,-6.0010298630137,46.3394549902153,511603400
01/19/2017 05:00,-5.163765674,46.3576228,-5.69472275,45.6568925,-5.163465,46.3531,-4.6165465,47.0484075,-5.23416299412916,46.348204109589,511603400
01/20/2017 05:00,-4.806537586,46.56000031,-5.36549625,45.8619975,-4.80575,46.56195,-4.2558985,47.265105,-4.81196072407045,46.5066870841487,511603400
01/21/2017 05:00,-5.186225637,46.79743188,-5.73921175,46.055985,-5.186,46.79815,-4.656486,47.5466,-5.19576927592955,46.8341150684931,511603400
01/22/2017 05:00,-5.597021263,47.04976356,-6.13201525,46.2542775,-5.59672,47.0525,-5.07655925,47.9486125,-5.57915679060665,47.04124481409,511603400
01/23/2017 05:00,-5.355871422,47.29790444,-5.8913705,46.5046925,-5.3561,47.304,-4.838856,48.33711,-5.31132362035225,47.3616780821918,511603400
01/24/2017 05:00,-4.921479251,47.55520933,-5.44840175,46.72807,-4.921425,47.57195,-4.39184675,48.6606025,-4.83146618395303,47.6740788649706,511603400
01/25/2017 05:00,-4.763592426,47.72227843,-5.2734225,46.9239975,-4.764395,47.7201,-4.22880525,48.91213,-4.79211968688845,47.6713698630137,511603400
01/26/2017 05:00,-4.766761881,47.78451899,-5.27718025,47.1017925,-4.7659,47.77915,-4.2182265,49.0986225,-4.76603236790607,47.7594142857143,511603400
01/27/2017 05:00,-4.810639084,47.82777848,-5.32025475,47.15079,-4.809795,47.82215,-4.27340175,49.181505,-4.81724585127202,47.7590616438356,511603400
01/28/2017 05:00,-4.8825509,47.89574844,-5.3759925,47.1518,-4.882565,47.8975,-4.38793925,49.1493025,-4.87988487279843,47.847753816047,511603400
01/29/2017 05:00,-4.963321864,47.99862909,-5.45995275,47.1222925,-4.964605,47.9959,-4.47520425,49.1316125,-4.98335688845401,47.9716739726027,511603400
01/30/2017 05:00,-5.04514116,48.11791434,-5.5493685,47.187295,-5.04403,48.1206,-4.559309,49.097405,-5.01179741682975,48.1255864970646,511603400
01/31/2017 05:00,-5.129516261,48.24904031,-5.63287175,47.3233875,-5.128875,48.25245,-4.6595775,49.1223025,-5.07789520547945,48.2475874755382,511603400
02/01/2017 05:00,-5.199274786,48.38825138,-5.74033975,47.491295,-5.19965,48.39225,-4.71199725,49.1622,-5.26504939334638,48.5439444227006,511603400
